iter	Passed	Remaining
409	3463	4984
410	3471	4975
411	3479	4966
412	3487	4956
413	3494	4946
414	3502	4937
415	3510	4927
416	3518	4919
417	3525	4908
418	3533	4899
419	3541	4890
420	3548	4879
421	3556	4870
422	3562	4859
423	3571	4852
424	3578	4841
425	3587	4833
426	3593	4822
427	3601	4813
428	3608	4802
429	3615	4793
430	3622	4782
431	3629	4772
432	3637	4762
433	3643	4752
434	3651	4742
435	3658	4732
436	3666	4723
437	3673	4713
438	3681	4704
439	3688	4693
440	3698	4687
441	3705	4677
442	3712	4667
443	3720	4658
444	3731	4653
445	3740	4645
446	3748	4637
447	3757	4629
448	3766	4622
449	3775	4614
450	3784	4607
451	3793	4599
452	3802	4591
453	3811	4583
454	3822	4578
455	3834	4573
456	3844	4567
457	3854	4561
458	3865	4555
459	3874	4548
460	3883	4540
461	3892	4532
462	3900	4523
463	3909	4515
464	3917	4507
465	3925	4498
466	3933	4489
467	3942	4481
468	3950	4472
469	3958	4463
470	3968	4456
471	3977	4448
472	3986	4441
473	3996	4434
474	4004	4425
475	4012	4417
476	4021	4408
477	4031	4403
478	4040	4394
479	4049	4387
480	4058	4378
481	4065	4369
482	4075	4362
483	4083	4353
484	4092	4346
485	4101	4337
486	4109	4329
487	4117	4320
488	4126	4312
489	4134	4303
490	4143	4295
491	4151	4286
492	4159	4278
493	4168	4269
494	4176	4261
495	4184	4251
496	4192	4243
497	4200	4234
498	4209	4226
499	4217	4217
500	4226	4209
501	4234	4200
502	4243	4192
503	4251	4183
504	4260	4176
505	4269	4168
506	4278	4160
507	4287	4152
508	4294	4142
509	4302	4134
510	4310	4125
511	4319	4116
512	4327	4108
513	4336	4100
514	4345	4092
515	4353	4083
516	4361	4074
517	4369	4066
518	4377	4056
519	4385	4048
520	4393	4039
521	4401	4030
522	4409	4021
523	4417	4013
524	4427	4005
525	4437	3998
526	4445	3990
527	4453	3981
528	4461	3972
529	4470	3964
530	4477	3955
531	4487	3947
532	4496	3939
533	4504	3931
534	4512	3922
535	4521	3914
536	4530	3905
537	4538	3897
538	4546	3888
539	4555	3880
540	4564	3872
541	4573	3864
542	4582	3856
543	4591	3848
544	4600	3840
545	4608	3832
546	4617	3823
547	4625	3815
548	4634	3807
549	4643	3798
550	4651	3790
551	4659	3781
552	4667	3772
553	4676	3764
554	4684	3755
555	4692	3747
556	4700	3738
557	4708	3729
558	4716	3721
559	4724	3712
560	4733	3703
561	4741	3695
562	4750	3687
563	4759	3679
564	4767	3670
565	4777	3663
566	4784	3654
567	4794	3646
568	4802	3637
569	4810	3629
570	4818	3620
571	4826	3611
572	4834	3602
573	4842	3594
574	4850	3585
575	4858	3576
576	4867	3568
577	4877	3560
578	4885	3552
579	4895	3544
580	4904	3536
581	4912	3527
582	4920	3519
583	4929	3511
584	4937	3502
585	4945	3494
586	4953	3485
587	4963	3477
588	4971	3469
589	4980	3461
590	4988	3452
591	4996	3443
592	5004	3435
593	5013	3426
594	5021	3418
595	5029	3409
596	5038	3401
597	5046	3392
598	5054	3383
599	5062	3375
600	5071	3366
601	5079	3357
602	5087	3349
603	5095	3340
604	5103	3332
605	5112	3323
606	5119	3314
607	5128	3306
608	5136	3297
609	5145	3289
610	5153	3281
611	5162	3272
612	5171	3265
613	5182	3258
614	5192	3250
615	5199	3241
616	5208	3233
617	5216	3224
618	5224	3215
619	5233	3207
620	5241	3198
621	5250	3190
622	5257	3181
623	5266	3173
624	5275	3165
625	5284	3157
626	5292	3148
627	5301	3140
628	5308	3131
629	5317	3122
630	5324	3113
631	5332	3105
632	5340	3096
633	5349	3087
634	5356	3079
635	5364	3070
636	5373	3062
637	5382	3053
638	5389	3045
639	5398	3036
640	5407	3028
641	5418	3021
642	5427	3013
643	5435	3004
644	5443	2996
645	5452	2987
646	5460	2979
647	5469	2970
648	5478	2962
649	5487	2955
650	5497	2947
651	5506	2938
652	5514	2930
653	5522	2921
654	5530	2912
655	5539	2904
656	5547	2896
657	5556	2887
658	5564	2879
659	5573	2870
660	5581	2862
661	5589	2853
662	5597	2845
663	5606	2836
664	5614	2828
665	5622	2819
666	5631	2811
667	5639	2802
668	5647	2794
669	5655	2785
670	5664	2777
671	5672	2768
672	5681	2760
673	5689	2751
674	5699	2744
675	5707	2735
676	5715	2726
677	5723	2718
678	5731	2709
679	5740	2701
680	5747	2692
681	5756	2683
682	5764	2675
683	5772	2666
684	5781	2658
685	5789	2650
686	5797	2641
687	5806	2633
688	5814	2624
689	5822	2615
690	5830	2607
691	5839	2598
692	5847	2590
693	5855	2581
694	5863	2573
695	5871	2564
696	5880	2556
697	5889	2548
698	5898	2539
699	5908	2532
700	5918	2524
701	5926	2515
702	5934	2507
703	5943	2499
704	5952	2490
705	5960	2482
706	5969	2473
707	5978	2465
708	5987	2457
709	5995	2448
710	6005	2441
711	6015	2433
712	6024	2424
713	6033	2416
714	6043	2408
715	6052	2400
716	6062	2392
717	6070	2384
718	6079	2376
719	6090	2368
720	6100	2360
721	6109	2352
722	6119	2344
723	6128	2336
724	6138	2328
725	6148	2320
726	6157	2312
727	6167	2304
728	6176	2296
729	6185	2287
730	6194	2279
731	6203	2271
732	6212	2262
733	6220	2254
734	6229	2246
735	6239	2238
736	6248	2229
737	6257	2221
738	6265	2212
739	6274	2204
740	6282	2195
741	6289	2186
742	6298	2178
743	6305	2169
744	6313	2160
745	6321	2152
746	6328	2143
747	6336	2134
748	6344	2126
749	6351	2117
750	6359	2108
751	6367	2099
752	6375	2091
753	6384	2082
754	6392	2074
755	6400	2065
756	6408	2057
757	6415	2048
758	6423	2039
759	6433	2031
760	6442	2023
761	6450	2014
762	6458	2006
763	6467	1997
764	6475	1989
765	6483	1980
766	6493	1972
767	6501	1964
768	6509	1955
769	6517	1946
770	6526	1938
771	6534	1929
772	6542	1921
773	6550	1912
774	6560	1904
775	6567	1895
776	6576	1887
777	6584	1878
778	6592	1870
779	6600	1861
780	6607	1852
781	6615	1844
782	6624	1835
783	6632	1827
784	6641	1818
785	6648	1810
786	6656	1801
787	6664	1792
788	6672	1784
789	6681	1776
790	6689	1767
791	6697	1759
792	6706	1750
793	6713	1741
794	6721	1733
795	6729	1724
796	6736	1715
797	6744	1707
798	6751	1698
799	6758	1689
800	6766	1680
801	6773	1672
802	6781	1663
803	6789	1655
804	6796	1646
805	6803	1637
806	6810	1628
807	6818	1620
808	6825	1611
809	6833	1602
810	6841	1594
811	6848	1585
812	6856	1577
813	6864	1568
814	6872	1560
815	6882	1551
816	6890	1543
817	6898	1534
818	6906	1526
819	6914	1517
820	6922	1509
821	6930	1500
822	6938	1492
823	6946	1483
824	6954	1475
825	6963	1466
826	6972	1458
827	6981	1450
828	6989	1441
829	6997	1433
830	7005	1424
831	7012	1416
832	7022	1407
833	7030	1399
834	7041	1391
835	7051	1383
836	7059	1374
837	7069	1366
838	7077	1358
839	7087	1349
840	7096	1341
841	7103	1333
842	7112	1324
843	7120	1316
844	7128	1307
845	7137	1299
846	7145	1290
847	7153	1282
848	7161	1273
849	7169	1265
850	7177	1256
851	7186	1248
852	7194	1239
853	7202	1231
854	7210	1222
855	7219	1214
856	7228	1206
857	7235	1197
858	7244	1189
859	7252	1180
860	7260	1172
861	7267	1163
862	7276	1155
863	7286	1147
864	7296	1138
865	7304	1130
866	7314	1122
867	7325	1114
868	7334	1105
869	7344	1097
870	7353	1089
871	7364	1080
872	7374	1072
873	7402	1067
874	7419	1059
875	7429	1051
876	7438	1043
877	7446	1034
878	7455	1026
879	7463	1017
880	7472	1009
881	7480	1000
882	7488	992
883	7496	983
884	7504	975
885	7512	966
886	7521	958
887	7528	949
888	7537	941
889	7544	932
890	7553	924
891	7562	915
892	7570	907
893	7578	898
894	7587	890
895	7595	881
896	7604	873
897	7613	864
898	7622	856
899	7629	847
900	7638	839
901	7646	830
902	7656	822
903	7663	813
904	7674	805
905	7684	797
906	7692	788
907	7701	780
908	7709	771
909	7719	763
910	7727	754
911	7736	746
912	7744	737
913	7754	729
914	7762	721
915	7771	712
916	7780	704
917	7788	695
918	7797	687
919	7805	678
920	7812	670
921	7820	661
922	7829	653
923	7837	644
924	7845	636
925	7853	627
926	7861	619
927	7870	610
928	7879	602
929	7888	593
930	7897	585
931	7906	576
932	7915	568
933	7923	559
934	7932	551
935	7940	542
936	7949	534
937	7957	525
938	7965	517
939	7974	508
940	7983	500
941	7991	492
942	8000	483
943	8009	475
944	8017	466
945	8027	458
946	8035	449
947	8045	441
948	8053	432
949	8063	424
950	8073	416
951	8084	407
952	8092	399
953	8100	390
954	8108	382
955	8116	373
956	8125	365
957	8133	356
958	8141	348
959	8149	339
960	8157	331
961	8165	322
962	8173	314
963	8182	305
964	8190	297
965	8197	288
966	8206	280
967	8213	271
968	8220	262
969	8228	254
970	8235	245
971	8242	237
972	8250	228
973	8258	220
974	8265	211
975	8272	203
976	8279	194
977	8286	186
978	8296	177
979	8303	169
980	8311	160
981	8318	152
982	8326	143
983	8332	135
984	8341	127
985	8349	118
986	8357	110
987	8365	101
988	8372	93
989	8379	84
990	8388	76
991	8395	67
992	8403	59
993	8410	50
994	8418	42
995	8426	33
996	8434	25
997	8441	16
998	8448	8
999	8456	0
